Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Viande de Volailles","2015","Milliers de tonnes","66"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Viande de Volailles","2019","Milliers de tonnes","67"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Viande de Volailles","2015","Milliers de tonnes","2037"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Viande de Volailles","2019","Milliers de tonnes","2186"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","34"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","34"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","312"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","287"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1450"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1504"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Viande de Volailles","2015","Milliers de tonnes","272"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Viande de Volailles","2019","Milliers de tonnes","327"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Viande de Volailles","2015","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Viande de Volailles","2019","Milliers de tonnes","6"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1372"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1433"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1925"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Viande de Volailles","2019","Milliers de tonnes","2020"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","44"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","54"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1148"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1243"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Viande de Volailles","2015","Milliers de tonnes","164"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Viande de Volailles","2019","Milliers de tonnes","159"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Viande de Volailles","2015","Milliers de tonnes","114"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Viande de Volailles","2019","Milliers de tonnes","146"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Viande de Volailles","2015","Milliers de tonnes","19"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Viande de Volailles","2019","Milliers de tonnes","21"
"Bilans Alimentaires (2010-)","Bangladesh","Nourriture","Viande de Volailles","2015","Milliers de tonnes","247"
"Bilans Alimentaires (2010-)","Bangladesh","Nourriture","Viande de Volailles","2019","Milliers de tonnes","260"
"Bilans Alimentaires (2010-)","Barbade","Nourriture","Viande de Volailles","2015","Milliers de tonnes","14"
"Bilans Alimentaires (2010-)","Barbade","Nourriture","Viande de Volailles","2019","Milliers de tonnes","14"
"Bilans Alimentaires (2010-)","Bélarus","Nourriture","Viande de Volailles","2015","Milliers de tonnes","264"
"Bilans Alimentaires (2010-)","Bélarus","Nourriture","Viande de Volailles","2019","Milliers de tonnes","270"
"Bilans Alimentaires (2010-)","Belgique","Nourriture","Viande de Volailles","2015","Milliers de tonnes","129"
"Bilans Alimentaires (2010-)","Belgique","Nourriture","Viande de Volailles","2019","Milliers de tonnes","145"
"Bilans Alimentaires (2010-)","Belize","Nourriture","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Belize","Nourriture","Viande de Volailles","2019","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Bénin","Nourriture","Viande de Volailles","2015","Milliers de tonnes","214"
"Bilans Alimentaires (2010-)","Bénin","Nourriture","Viande de Volailles","2019","Milliers de tonnes","121"
"Bilans Alimentaires (2010-)","Bolivie (État plurinational de)","Nourriture","Viande de Volailles","2015","Milliers de tonnes","508"
"Bilans Alimentaires (2010-)","Bolivie (État plurinational de)","Nourriture","Viande de Volailles","2019","Milliers de tonnes","496"
"Bilans Alimentaires (2010-)","Bosnie-Herzégovine","Nourriture","Viande de Volailles","2015","Milliers de tonnes","57"
"Bilans Alimentaires (2010-)","Bosnie-Herzégovine","Nourriture","Viande de Volailles","2019","Milliers de tonnes","56"
"Bilans Alimentaires (2010-)","Botswana","Nourriture","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Botswana","Nourriture","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Brésil","Nourriture","Viande de Volailles","2015","Milliers de tonnes","9471"
"Bilans Alimentaires (2010-)","Brésil","Nourriture","Viande de Volailles","2019","Milliers de tonnes","9906"
"Bilans Alimentaires (2010-)","Bulgarie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","156"
"Bilans Alimentaires (2010-)","Bulgarie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","159"
"Bilans Alimentaires (2010-)","Burkina Faso","Nourriture","Viande de Volailles","2015","Milliers de tonnes","52"
"Bilans Alimentaires (2010-)","Burkina Faso","Nourriture","Viande de Volailles","2019","Milliers de tonnes","44"
"Bilans Alimentaires (2010-)","Burundi","Nourriture","Viande de Volailles","2015","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Burundi","Nourriture","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Cabo Verde","Nourriture","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Cabo Verde","Nourriture","Viande de Volailles","2019","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Cambodge","Nourriture","Viande de Volailles","2015","Milliers de tonnes","28"
"Bilans Alimentaires (2010-)","Cambodge","Nourriture","Viande de Volailles","2019","Milliers de tonnes","35"
"Bilans Alimentaires (2010-)","Cameroun","Nourriture","Viande de Volailles","2015","Milliers de tonnes","81"
"Bilans Alimentaires (2010-)","Cameroun","Nourriture","Viande de Volailles","2019","Milliers de tonnes","85"
"Bilans Alimentaires (2010-)","Canada","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1365"
"Bilans Alimentaires (2010-)","Canada","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1537"
"Bilans Alimentaires (2010-)","Chili","Nourriture","Viande de Volailles","2015","Milliers de tonnes","682"
"Bilans Alimentaires (2010-)","Chili","Nourriture","Viande de Volailles","2019","Milliers de tonnes","680"
"Bilans Alimentaires (2010-)","Chine","Nourriture","Viande de Volailles","2015","Milliers de tonnes","19897"
"Bilans Alimentaires (2010-)","Chine","Nourriture","Viande de Volailles","2019","Milliers de tonnes","21715"
"Bilans Alimentaires (2010-)","Chine - RAS de Hong-Kong","Nourriture","Viande de Volailles","2015","Milliers de tonnes","273"
"Bilans Alimentaires (2010-)","Chine - RAS de Hong-Kong","Nourriture","Viande de Volailles","2019","Milliers de tonnes","399"
"Bilans Alimentaires (2010-)","Chine - RAS de Macao","Nourriture","Viande de Volailles","2015","Milliers de tonnes","21"
"Bilans Alimentaires (2010-)","Chine - RAS de Macao","Nourriture","Viande de Volailles","2019","Milliers de tonnes","22"
