Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","44"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","67"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","488"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","2186"
"Bilans Alimentaires (2010-)","Albanie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","34"
"Bilans Alimentaires (2010-)","Algérie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","287"
"Bilans Alimentaires (2010-)","Allemagne","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","831"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","1712"
"Bilans Alimentaires (2010-)","Angola","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","278"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","327"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Arabie saoudite","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","650"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","1433"
"Bilans Alimentaires (2010-)","Argentine","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","2020"
"Bilans Alimentaires (2010-)","Arménie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","43"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","55"
"Bilans Alimentaires (2010-)","Australie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","1243"
"Bilans Alimentaires (2010-)","Autriche","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","113"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","177"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","39"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","146"
"Bilans Alimentaires (2010-)","Bahamas","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","25"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Bangladesh","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","260"
"Bilans Alimentaires (2010-)","Barbade","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","18"
"Bilans Alimentaires (2010-)","Bélarus","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","271"
"Bilans Alimentaires (2010-)","Belgique","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","320"
"Bilans Alimentaires (2010-)","Belgique","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","187"
"Bilans Alimentaires (2010-)","Belize","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Belize","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","21"
"Bilans Alimentaires (2010-)","Bénin","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","117"
"Bilans Alimentaires (2010-)","Bénin","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","121"
"Bilans Alimentaires (2010-)","Bolivie (État plurinational de)","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Bolivie (État plurinational de)","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","496"
"Bilans Alimentaires (2010-)","Bosnie-Herzégovine","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Bosnie-Herzégovine","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","56"
"Bilans Alimentaires (2010-)","Botswana","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Botswana","Disponibilité intérieure","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Brésil","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","5"
