Zone,Élément,Valeur
Afghanistan,Importations - Quantité,44
Afrique du Sud,Importations - Quantité,488
Afrique du Sud,Exportations - Quantité,48
Albanie,Importations - Quantité,22
Albanie,Exportations - Quantité,0
Algérie,Importations - Quantité,0
Algérie,Exportations - Quantité,1
Allemagne,Importations - Quantité,831
Allemagne,Exportations - Quantité,644
Angola,Importations - Quantité,278
Angola,Exportations - Quantité,0
Antigua-et-Barbuda,Importations - Quantité,7
Antigua-et-Barbuda,Exportations - Quantité,0
Arabie saoudite,Importations - Quantité,650
Arabie saoudite,Exportations - Quantité,38
Argentine,Importations - Quantité,5
Argentine,Exportations - Quantité,234
Arménie,Importations - Quantité,43
Arménie,Exportations - Quantité,0
Australie,Importations - Quantité,9
Australie,Exportations - Quantité,45
Autriche,Importations - Quantité,113
Autriche,Exportations - Quantité,87
Azerbaïdjan,Importations - Quantité,39
Azerbaïdjan,Exportations - Quantité,1
Bahamas,Importations - Quantité,25
Bangladesh,Importations - Quantité,0
Barbade,Importations - Quantité,2
Barbade,Exportations - Quantité,0
Bélarus,Importations - Quantité,10
Bélarus,Exportations - Quantité,177
Belgique,Importations - Quantité,320
Belgique,Exportations - Quantité,565
Belize,Importations - Quantité,0
Bénin,Importations - Quantité,117
Bénin,Exportations - Quantité,11
Bolivie (État plurinational de),Importations - Quantité,2
Bolivie (État plurinational de),Exportations - Quantité,1
Bosnie-Herzégovine,Importations - Quantité,11
Bosnie-Herzégovine,Exportations - Quantité,9
Botswana,Importations - Quantité,5
Botswana,Exportations - Quantité,0
Brésil,Importations - Quantité,5
Brésil,Exportations - Quantité,4099
Bulgarie,Importations - Quantité,111
Bulgarie,Exportations - Quantité,43
Burkina Faso,Importations - Quantité,0
Burundi,Importations - Quantité,0
Cabo Verde,Importations - Quantité,13
Cambodge,Importations - Quantité,1
Cameroun,Importations - Quantité,2
Canada,Importations - Quantité,179
Canada,Exportations - Quantité,148
Chili,Importations - Quantité,137
Chili,Exportations - Quantité,173
Chine,Importations - Quantité,1814
Chine,Exportations - Quantité,903
Chine - RAS de Hong-Kong,Importations - Quantité,773
Chine - RAS de Hong-Kong,Exportations - Quantité,310
Chine - RAS de Macao,Importations - Quantité,32
"Chine, continentale",Importations - Quantité,795
"Chine, continentale",Exportations - Quantité,588
"Chine, Taiwan Province de",Importations - Quantité,215
