Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","43"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","44"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","329"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","488"
"Bilans Alimentaires (2010-)","Albanie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","21"
"Bilans Alimentaires (2010-)","Albanie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Algérie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Algérie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Allemagne","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","750"
"Bilans Alimentaires (2010-)","Allemagne","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","831"
"Bilans Alimentaires (2010-)","Angola","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","233"
"Bilans Alimentaires (2010-)","Angola","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","278"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","6"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Arabie saoudite","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","956"
"Bilans Alimentaires (2010-)","Arabie saoudite","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","650"
"Bilans Alimentaires (2010-)","Argentine","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Argentine","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Arménie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","32"
"Bilans Alimentaires (2010-)","Arménie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","43"
"Bilans Alimentaires (2010-)","Australie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","25"
"Bilans Alimentaires (2010-)","Australie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Autriche","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","109"
"Bilans Alimentaires (2010-)","Autriche","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","113"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","17"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","39"
"Bilans Alimentaires (2010-)","Bahamas","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","14"
"Bilans Alimentaires (2010-)","Bahamas","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","25"
"Bilans Alimentaires (2010-)","Bangladesh","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Bangladesh","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Barbade","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Barbade","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Bélarus","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","21"
"Bilans Alimentaires (2010-)","Bélarus","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Belgique","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","266"
"Bilans Alimentaires (2010-)","Belgique","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","320"
"Bilans Alimentaires (2010-)","Belize","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Belize","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Bénin","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","184"
"Bilans Alimentaires (2010-)","Bénin","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","117"
"Bilans Alimentaires (2010-)","Bolivie (État plurinational de)","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Bolivie (État plurinational de)","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Bosnie-Herzégovine","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","14"
"Bilans Alimentaires (2010-)","Bosnie-Herzégovine","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Botswana","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Botswana","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Brésil","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","4"
"Bilans Alimentaires (2010-)","Brésil","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Bulgarie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","99"
"Bilans Alimentaires (2010-)","Bulgarie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","111"
"Bilans Alimentaires (2010-)","Burkina Faso","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Burkina Faso","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Burundi","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Burundi","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Cabo Verde","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Cabo Verde","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","13"
"Bilans Alimentaires (2010-)","Cambodge","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Cambodge","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Cameroun","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Cameroun","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Canada","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","218"
"Bilans Alimentaires (2010-)","Canada","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","179"
"Bilans Alimentaires (2010-)","Chili","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","113"
"Bilans Alimentaires (2010-)","Chili","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","137"
"Bilans Alimentaires (2010-)","Chine","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","1479"
"Bilans Alimentaires (2010-)","Chine","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1814"
"Bilans Alimentaires (2010-)","Chine - RAS de Hong-Kong","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","867"
"Bilans Alimentaires (2010-)","Chine - RAS de Hong-Kong","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","773"
"Bilans Alimentaires (2010-)","Chine - RAS de Macao","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","20"
"Bilans Alimentaires (2010-)","Chine - RAS de Macao","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","32"
"Bilans Alimentaires (2010-)","Chine, continentale","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","409"
"Bilans Alimentaires (2010-)","Chine, continentale","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","795"
"Bilans Alimentaires (2010-)","Chine, Taiwan Province de","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","183"
"Bilans Alimentaires (2010-)","Chine, Taiwan Province de","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","215"
"Bilans Alimentaires (2010-)","Chypre","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","13"
"Bilans Alimentaires (2010-)","Chypre","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Colombie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","55"
"Bilans Alimentaires (2010-)","Colombie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","115"
"Bilans Alimentaires (2010-)","Comores","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Comores","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Congo","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","71"
"Bilans Alimentaires (2010-)","Congo","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","107"
"Bilans Alimentaires (2010-)","Costa Rica","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Costa Rica","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Côte d'Ivoire","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Côte d'Ivoire","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Croatie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Croatie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","30"
"Bilans Alimentaires (2010-)","Cuba","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","184"
"Bilans Alimentaires (2010-)","Cuba","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","294"
"Bilans Alimentaires (2010-)","Danemark","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","75"
"Bilans Alimentaires (2010-)","Danemark","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","142"
"Bilans Alimentaires (2010-)","Djibouti","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Djibouti","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","3"
