Zone,Valeur
Afghanistan,10.7
Afrique du Sud,36
Albanie,62.7
Algérie,25.6
Allemagne,63
Angola,15.7
Antigua-et-Barbuda,50
Arabie saoudite,34.6
Argentine,67.3
Arménie,44.7
Australie,71.6
Autriche,64.7
Azerbaïdjan,31.7
Bahamas,52.3
Bangladesh,11.7
Barbade,49.3
Bélarus,51
Belgique,58.3
Belize,27
Bénin,13.3
Bolivie (État plurinational de),34.7
Bosnie-Herzégovine,36.3
Botswana,27.7
Brésil,52.7
Bulgarie,40.7
Burkina Faso,11
Cabo Verde,26
Cambodge,18.7
Cameroun,11.3
Canada,55
Chili,47.7
Chine,40.3
Chine - RAS de Hong-Kong,95.7
Chine - RAS de Macao,68
"Chine, continentale",40
"Chine, Taiwan Province de",42.3
Chypre,46
Colombie,36.7
Congo,26
Costa Rica,44.7
Côte d'Ivoire,13.7
Croatie,53
Cuba,33
Danemark,76.7
Djibouti,14
Dominique,46.3
Égypte,24.7
El Salvador,26.3
Émirats arabes unis,50.7
Équateur,30.3
Espagne,66
Estonie,64
Eswatini,16.7
États-Unis d'Amérique,72.7
Éthiopie,6
Fédération de Russie,54
Fidji,28
Finlande,74.3
France,63.7
Gabon,38.3
Gambie,15.7
Géorgie,29.3
Ghana,14.7
Grèce,58
Grenade,39.7
Guatemala,21.7
Guinée,11
Guinée-Bissau,9
Guyana,35.3
Haïti,9.7
Honduras,20.7
Hongrie,49.7
Îles Salomon,15.3
Inde,14
Indonésie,20.7
Iran (République islamique d'),24.3
Iraq,14.7
Irlande,68.4
Islande,103
Israël,73.3
Italie,54.3
Jamaïque,35.7
Japon,47.7
Jordanie,23.3
Kazakhstan,53.7
Kenya,14.3
Kirghizistan,33.3
Kiribati,36.7
Koweït,48.7
Lesotho,18.7
Lettonie,61
Liban,22
Libéria,10.3
Lituanie,76
Luxembourg,68
Macédoine du Nord,35
Madagascar,9
Malaisie,43.7
Malawi,8.3
Maldives,52.8
Mali,21.4
Malte,65.7
Maroc,27
Maurice,39.7
Mauritanie,29.3
Mexique,44
Mongolie,55
Monténégro,69
Mozambique,7.3
Myanmar,39.7
Namibie,22.7
Népal,13.3
Nicaragua,19.3
Niger,11
Nigéria,7
Norvège,67
Nouvelle-Calédonie,49.7
Nouvelle-Zélande,51.7
Oman,42
Ouganda,11.3
Ouzbékistan,35
Pakistan,25.7
Panama,42
Paraguay,27.3
Pays-Bas,68.3
Pérou,29
Philippines,25.7
Pologne,57
Polynésie française,62
Portugal,72
République centrafricaine,18.3
République de Corée,49.7
République de Moldova,29.3
République démocratique populaire lao,18
République dominicaine,32
République populaire démocratique de Corée,10
République-Unie de Tanzanie,11.3
Roumanie,54
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,58.3
Rwanda,8
Sainte-Lucie,52.3
Saint-Kitts-et-Nevis,52
Saint-Vincent-et-les Grenadines,49.7
Samoa,52.7
Sao Tomé-et-Principe,16.3
Sénégal,13.7
Serbie,41.3
Sierra Leone,11
Slovaquie,37.3
Slovénie,52
Soudan,20
Sri Lanka,17
Suède,68
Suisse,60
Suriname,25
Tadjikistan,12
Tchad,11
Tchéquie,51.7
Thaïlande,26.7
Timor-Leste,16.7
Togo,8.3
Trinité-et-Tobago,43.7
Tunisie,28
Turkménistan,36
Turquie,37.7
Ukraine,37.3
Uruguay,44
Vanuatu,26.7
Venezuela (République bolivarienne du),24.7
Viet Nam,37.7
Yémen,9
Zambie,12
Zimbabwe,11
