Zone,Produit,Année,Valeur
Afghanistan,Viande,2019,3.28
Afghanistan,Viande de Volailles,2019,0.63
Afrique du Sud,Viande,2019,24.61
Afrique du Sud,Viande de Volailles,2019,14.75
Albanie,Viande,2019,16.09
Albanie,Viande de Volailles,2019,4.54
Algérie,Viande,2019,6.86
Algérie,Viande de Volailles,2019,2.06
Allemagne,Viande,2019,25.04
Allemagne,Viande de Volailles,2019,7.37
Angola,Viande,2019,7.92
Angola,Viande de Volailles,2019,3.49
Antigua-et-Barbuda,Viande,2019,27.48
Antigua-et-Barbuda,Viande de Volailles,2019,20.17
Arabie saoudite,Viande,2019,19.36
Arabie saoudite,Viande de Volailles,2019,15.01
Argentine,Viande,2019,43.65
Argentine,Viande de Volailles,2019,14.42
Arménie,Viande,2019,23.75
Arménie,Viande de Volailles,2019,6.21
Australie,Viande,2019,37.67
Australie,Viande de Volailles,2019,17.11
Autriche,Viande,2019,27.79
Autriche,Viande de Volailles,2019,7.3
Azerbaïdjan,Viande,2019,13.3
Azerbaïdjan,Viande de Volailles,2019,4.95
Bahamas,Viande,2019,32.64
Bahamas,Viande de Volailles,2019,18.68
Bangladesh,Viande,2019,1.61
Bangladesh,Viande de Volailles,2019,0.5
Barbade,Viande,2019,24.81
Barbade,Viande de Volailles,2019,16.15
Bélarus,Viande,2019,27.52
Bélarus,Viande de Volailles,2019,9.61
Belgique,Viande,2019,18.99
Belgique,Viande de Volailles,2019,4.51
Belize,Viande,2019,19.36
Belize,Viande de Volailles,2019,8.89
Bénin,Viande,2019,6.31
Bénin,Viande de Volailles,2019,3.63
Bolivie (État plurinational de),Viande,2019,26.57
Bolivie (État plurinational de),Viande de Volailles,2019,13.69
Bosnie-Herzégovine,Viande,2019,13.48
Bosnie-Herzégovine,Viande de Volailles,2019,5.7
Botswana,Viande,2019,11.95
Botswana,Viande de Volailles,2019,1.08
Brésil,Viande,2019,34
Brésil,Viande de Volailles,2019,15.34
Bulgarie,Viande,2019,19.78
Bulgarie,Viande de Volailles,2019,8.97
Burkina Faso,Viande,2019,4.75
Burkina Faso,Viande de Volailles,2019,0.73
Burundi,Viande,2019,0.89
Burundi,Viande de Volailles,2019,0.15
Cabo Verde,Viande,2019,12.04
Cabo Verde,Viande de Volailles,2019,6.72
Cambodge,Viande,2019,4.34
Cambodge,Viande de Volailles,2019,0.66
Cameroun,Viande,2019,4.79
Cameroun,Viande de Volailles,2019,1.11
Canada,Viande,2019,31.83
Canada,Viande de Volailles,2019,14.57
Chili,Viande,2019,30.45
Chili,Viande de Volailles,2019,12.02
Chine,Viande,2019,20.57
Chine,Viande de Volailles,2019,4.79
Chine - RAS de Hong-Kong,Viande,2019,50.32
Chine - RAS de Hong-Kong,Viande de Volailles,2019,20.42
Chine - RAS de Macao,Viande,2019,39.11
Chine - RAS de Macao,Viande de Volailles,2019,12.11
"Chine, continentale",Viande,2019,20.29
"Chine, continentale",Viande de Volailles,2019,4.57
"Chine, Taiwan Province de",Viande,2019,27.72
"Chine, Taiwan Province de",Viande de Volailles,2019,12.92
Chypre,Viande,2019,24.27
Chypre,Viande de Volailles,2019,9.93
Colombie,Viande,2019,19.9
Colombie,Viande de Volailles,2019,10.74
Comores,Viande,2019,3.5
Comores,Viande de Volailles,2019,2.11
Congo,Viande,2019,13.9
Congo,Viande de Volailles,2019,7.16
Costa Rica,Viande,2019,16.41
Costa Rica,Viande de Volailles,2019,8.08
Côte d'Ivoire,Viande,2019,4.77
Côte d'Ivoire,Viande de Volailles,2019,0.71
Croatie,Viande,2019,26.11
Croatie,Viande de Volailles,2019,5.98
Cuba,Viande,2019,21.05
Cuba,Viande de Volailles,2019,8.39
Danemark,Viande,2019,29.12
Danemark,Viande de Volailles,2019,10.95
Djibouti,Viande,2019,5.96
Djibouti,Viande de Volailles,2019,1.21
Dominique,Viande,2019,21.96
Dominique,Viande de Volailles,2019,13.24
Égypte,Viande,2019,9.76
Égypte,Viande de Volailles,2019,5.2
El Salvador,Viande,2019,13.01
El Salvador,Viande de Volailles,2019,7.78
Émirats arabes unis,Viande,2019,17.38
Émirats arabes unis,Viande de Volailles,2019,11.5
Équateur,Viande,2019,15.02
Équateur,Viande de Volailles,2019,5.73
Espagne,Viande,2019,34.95
Espagne,Viande de Volailles,2019,13.69
Estonie,Viande,2019,21.19
Estonie,Viande de Volailles,2019,7.57
Eswatini,Viande,2019,10.84
Eswatini,Viande de Volailles,2019,2.48
États-Unis d'Amérique,Viande,2019,43.21
États-Unis d'Amérique,Viande de Volailles,2019,20.94
Éthiopie,Viande,2019,2.72
Éthiopie,Viande de Volailles,2019,0.23
Fédération de Russie,Viande,2019,25.47
Fédération de Russie,Viande de Volailles,2019,10.57
Fidji,Viande,2019,20.04
Fidji,Viande de Volailles,2019,15.28
Finlande,Viande,2019,25.32
Finlande,Viande de Volailles,2019,8.41
France,Viande,2019,27.76
France,Viande de Volailles,2019,9.14
Gabon,Viande,2019,24.32
Gabon,Viande de Volailles,2019,12.39
Gambie,Viande,2019,5.38
Gambie,Viande de Volailles,2019,3.79
Géorgie,Viande,2019,12.65
Géorgie,Viande de Volailles,2019,5.78
Ghana,Viande,2019,5.24
Ghana,Viande de Volailles,2019,2.25
Grèce,Viande,2019,26.47
Grèce,Viande de Volailles,2019,10.46
Grenade,Viande,2019,21.62
Grenade,Viande de Volailles,2019,15.39
Guatemala,Viande,2019,12.04
Guatemala,Viande de Volailles,2019,5.76
Guinée,Viande,2019,5.26
Guinée,Viande de Volailles,2019,0.95
Guinée-Bissau,Viande,2019,4.88
Guinée-Bissau,Viande de Volailles,2019,0.85
Guyana,Viande,2019,17.03
Guyana,Viande de Volailles,2019,13.36
Haïti,Viande,2019,6.27
Haïti,Viande de Volailles,2019,2.7
Honduras,Viande,2019,12.37
Honduras,Viande de Volailles,2019,7.64
Hongrie,Viande,2019,26.69
Hongrie,Viande de Volailles,2019,10.37
Îles Salomon,Viande,2019,4.88
Îles Salomon,Viande de Volailles,2019,2.14
Inde,Viande,2019,1.72
Inde,Viande de Volailles,2019,1.04
Indonésie,Viande,2019,4.19
Indonésie,Viande de Volailles,2019,2.69
Iran (République islamique d'),Viande,2019,13.96
Iran (République islamique d'),Viande de Volailles,2019,9.63
Iraq,Viande,2019,4.18
Iraq,Viande de Volailles,2019,2.26
Irlande,Viande,2019,32.68
Irlande,Viande de Volailles,2019,14.88
Islande,Viande,2019,33.61
