Zone,Valeur
Afghanistan,3.911603
Afrique du Sud,0.152578
Albanie,2.113427
Algérie,0.8
Allemagne,1.055508
Andorre,2.015454
Angola,-0.624644
Anguilla,5.527876
Antigua-et-Barbuda,4.862236
Arabie saoudite,0.331423
Argentine,-2.088015
Arménie,7.630288
Aruba,-0.7
Australie,-0.284839
Autriche,1.491211
Azerbaïdjan,2.480152
Bahamas,0.702471
Bahreïn,1.989695
Bangladesh,8.152684
Barbade,-1.291107
Bélarus,1.446405
Belgique,2.14956
Belize,1.959465
Bénin,6.865687
Bermudes,0.459843
Bhoutan,5.464511
Bolivie (État plurinational de),2.216706
Bosnie-Herzégovine,2.831001
Botswana,3.025943
Brésil,1.411151
Brunéi Darussalam,3.868844
Bulgarie,4.037651
Burkina Faso,5.699435
Burundi,4.460055
Cabo Verde,5.667752
Cambodge,7.054107
Cameroun,3.720711
Canada,1.861415
Chili,0.942005
Chine,5.743127
Chine - RAS de Hong-Kong,-1.249366
Chine - RAS de Macao,-2.628977
"Chine, continentale",5.950499
Chypre,5.283266
Colombie,3.281117
Comores,3.623218
Congo,-0.431148
Costa Rica,2.167952
Côte d'Ivoire,6.231767
Croatie,3.481942
Cuba,-0.16484
Curaçao,-3.371806
Danemark,2.114664
Djibouti,6.565282
Dominique,5.502483
Égypte,5.557684
El Salvador,2.633411
Émirats arabes unis,3.411539
Équateur,0.012105
Érythrée,3.835908
Espagne,2.085191
Estonie,4.096343
Eswatini,2.243921
États-Unis d'Amérique,2.288869
Éthiopie,8.364067
Fédération de Russie,2.03299
Fidji,-0.445335
Finlande,1.343755
France,1.842972
Gabon,3.945108
Gambie,10.534178
Géorgie,4.982376
Ghana,6.507775
Grèce,1.803589
Grenade,0.676494
Groenland,1.679033
Guatemala,3.866856
Guinée,5.646176
Guinée équatoriale,-5.978946
Guinée-Bissau,4.5
Guyana,5.352537
Haïti,-1.684678
Honduras,2.653066
Hongrie,4.554063
Îles Caïmanes,3.817096
Îles Cook,4.775954
Îles Marshall,6.644687
Îles Salomon,1.204469
Îles Turques-et-Caïques,5.324557
Îles Vierges britanniques,1.711398
Inde,4.041554
Indonésie,5.01816
Iran (République islamique d'),-6.784215
Iraq,5.957328
Irlande,4.917007
Islande,2.434823
Israël,3.77362
Italie,0.410278
Jamaïque,0.892358
Japon,0.270305
Jordanie,1.954265
Kazakhstan,4.5
Kenya,4.981133
Kirghizistan,4.600626
Kiribati,-0.53962
Koweït,-0.551814
Lesotho,2.585749
Lettonie,2.484326
Liban,-7.157247
Libéria,-2.278245
Libye,-28.079234
Liechtenstein,-1.039078
Lituanie,4.573772
Luxembourg,3.283807
Macédoine du Nord,3.174143
Madagascar,4.411232
Malaisie,4.302816
Malawi,5.555836
Maldives,6.883689
Mali,6.292244
Malte,5.735538
Maroc,3.725986
Maurice,3.012295
Mauritanie,5.759931
Mexique,-0.054528
Micronésie (États fédérés de),1.200282
Monaco,6.862576
Mongolie,5.159078
Monténégro,4.062961
Montserrat,7.040262
Mozambique,2.314606
Myanmar,3.173774
Namibie,-0.606082
Nauru,5.7
Népal,6.657055
Nicaragua,-3.674261
Niger,5.941395
Nigéria,2.19388
Norvège,0.851898
Nouvelle-Calédonie,-1.2
Nouvelle-Zélande,2.125108
Oman,-0.825239
Ouganda,7.708785
Ouzbékistan,5.798458
Pakistan,0.988829
Palaos,-1.768684
Palestine,1.362687
Panama,3.039741
Papouasie-Nouvelle-Guinée,5.859794
Paraguay,-0.401855
Pays-Bas,1.955588
Pérou,2.203975
Philippines,6.118526
Pologne,4.74495
Polynésie française,2.970025
Porto Rico,1.484815
Portugal,2.68276
Qatar,0.774808
République arabe syrienne,3.747792
République centrafricaine,2.970283
République de Corée,2.243978
République de Moldova,3.683404
République démocratique du Congo,4.446608
République démocratique populaire lao,5.458055
République dominicaine,5.052168
République populaire démocratique de Corée,0.353321
République-Unie de Tanzanie,6.998006
Roumanie,4.188249
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,1.671944
Rwanda,9.468518
Sainte-Lucie,-0.063847
Saint-Kitts-et-Nevis,2.054103
Saint-Marin,1.978084
Saint-Vincent-et-les Grenadines,0.494924
Samoa,2.413911
Sao Tomé-et-Principe,2.210856
Sénégal,4.402407
Serbie,4.331736
Seychelles,1.191006
Sierra Leone,5.507686
Singapour,1.345217
Sint Maarten (partie néerlandaise),8
Slovaquie,2.605369
Slovénie,3.250529
Somalie,2.895928
Soudan,1.273225
Soudan du Sud,11.380298
Sri Lanka,2.255173
Suède,1.986196
Suisse,1.210992
Suriname,1.097767
Tadjikistan,7.44309
Tchad,2.960046
Tchéquie,3.029478
Thaïlande,2.266415
Timor-Leste,19.535809
Togo,3.599993
Tonga,0.731892
Trinité-et-Tobago,-0.171437
Tunisie,1.043262
Turkménistan,-7.720567
Turquie,0.889585
Tuvalu,13.874498
Ukraine,3.221483
Uruguay,0.350447
Vanuatu,3.265345
Venezuela (République bolivarienne du),-27.714965
Viet Nam,7.017437
Yémen,1.441207
Zambie,1.441306
Zimbabwe,-8.3
