Zone,Année,Valeur
Afghanistan,2019,496.940553
Afrique du Sud,2019,6001.389576
Albanie,2019,5345.602513
Algérie,2019,3975.519002
Allemagne,2019,46557.284069
Andorre,2019,40900.53859
Angola,2019,2809.626403
Anguilla,2019,25336.581453
Antigua-et-Barbuda,2019,17376.112907
Arabie saoudite,2019,23139.798657
Argentine,2019,9947.264856
Arménie,2019,4604.641377
Aruba,2019,31136.110954
Australie,2019,54763.202388
Autriche,2019,49693.668783
Azerbaïdjan,2019,4794.54492
Bahamas,2019,33799.839641
Bahreïn,2019,23442.830854
Bangladesh,2019,1846.416377
Barbade,2019,18458.148245
Bélarus,2019,6814.152439
Belgique,2019,46388.205209
Belize,2019,4983.310582
Bénin,2019,1219.515479
Bermudes,2019,119734.313506
Bhoutan,2019,3316.191236
Bolivie (État plurinational de),2019,3552.06876
Bosnie-Herzégovine,2019,6120.156351
Botswana,2019,7970.842173
Brésil,2019,8936.360101
Brunéi Darussalam,2019,31086.329196
Bulgarie,2019,9844.65467
Burkina Faso,2019,786.895614
Burundi,2019,292.139142
Cabo Verde,2019,3603.782576
Cambodge,2019,1643.641451
Cameroun,2019,1507.450172
Canada,2019,46550.335507
Chili,2019,14741.711597
Chine,2019,10195.736594
Chine - RAS de Hong-Kong,2019,49179.751067
Chine - RAS de Macao,2019,86118.106459
"Chine, continentale",2019,9959.637355
Chypre,2019,29659.349246
Colombie,2019,6424.979431
Comores,2019,1401.550515
Congo,2019,2327.854806
Costa Rica,2019,12669.706175
Côte d'Ivoire,2019,2276.340329
Croatie,2019,15070.610877
Cuba,2019,9125.879485
Curaçao,2019,18980.123691
Danemark,2019,60216.357595
Djibouti,2019,3252.320409
Dominique,2019,8516.280039
Égypte,2019,3161.324684
El Salvador,2019,4167.729159
Émirats arabes unis,2019,42701.429934
Équateur,2019,6222.522862
Érythrée,2019,566.711679
Espagne,2019,29806.208566
Estonie,2019,23419.18198
Eswatini,2019,3894.197619
États-Unis d'Amérique,2019,64949.439748
Éthiopie,2019,825.865015
Fédération de Russie,2019,11567.996132
Fidji,2019,6175.892917
Finlande,2019,48585.483016
France,2019,40516.996615
Gabon,2019,7766.992804
Gambie,2019,769.198872
Géorgie,2019,4372.780604
Ghana,2019,2247.149748
Grèce,2019,19587.057271
Grenade,2019,10834.400864
Groenland,2019,52622.572605
Guatemala,2019,4380.749911
Guinée,2019,1058.143372
Guinée équatoriale,2019,8419.908202
Guinée-Bissau,2019,688.351615
Guyana,2019,6609.593401
Haïti,2019,1243.603856
Honduras,2019,2574.352135
Hongrie,2019,16885.070887
Îles Caïmanes,2019,91389.352439
Îles Cook,2019,20332.551756
Îles Marshall,2019,4076.159786
Îles Salomon,2019,2344.134222
Îles Turques-et-Caïques,2019,31353.329318
Îles Vierges britanniques,2019,47913.516184
Inde,2019,2114.982134
Indonésie,2019,4135.201528
Iran (République islamique d'),2019,7882.788912
Iraq,2019,5980.628489
Irlande,2019,81745.514055
Islande,2019,73319.963204
Israël,2019,46709.354884
Italie,2019,33185.489321
Jamaïque,2019,5369.49283
Japon,2019,40586.234684
Jordanie,2019,4405.480596
Kazakhstan,2019,9792.622196
Kenya,2019,1912.6233
Kirghizistan,2019,1382.672572
Kiribati,2019,1512.972242
Koweït,2019,32371.986172
Lesotho,2019,1154.539933
Lettonie,2019,17993.397026
Liban,2019,7811.922381
Libéria,2019,522.999168
Libye,2019,8827.836565
Liechtenstein,2019,175811.169745
Lituanie,2019,19820.569598
Luxembourg,2019,114004.238058
Macédoine du Nord,2019,6022.218418
Madagascar,2019,522.989511
Malaisie,2019,11414.290367
Malawi,2019,598.329222
Maldives,2019,10561.664288
Mali,2019,879.12139
Malte,2019,35710.558628
Maroc,2019,3286.671864
Maurice,2019,11062.58346
Mauritanie,2019,1743.302088
Mexique,2019,9946.016618
Micronésie (États fédérés de),2019,3585.297193
Monaco,2019,189506.773412
Mongolie,2019,4339.843236
Monténégro,2019,8825.313988
Montserrat,2019,13134.822536
Mozambique,2019,506.817256
Myanmar,2019,1374.375238
Namibie,2019,5037.229138
Nauru,2019,12350.926128
Népal,2019,1197.825921
Nicaragua,2019,1926.697992
Niger,2019,554.099699
Nigéria,2019,2361.206967
Norvège,2019,75389.62274
Nouvelle-Calédonie,2019,33379.763021
Nouvelle-Zélande,2019,44622.989778
Oman,2019,15343.062004
Ouganda,2019,852.014968
Ouzbékistan,2019,1750.258925
