Zone,Année,Valeur
Afghanistan,2019,-2.65
Afrique du Sud,2019,-0.22
Albanie,2019,0.12
Algérie,2019,-1
Allemagne,2019,0.58
Andorre,2019,1.62
Angola,2019,-0.31
Antigua-et-Barbuda,2019,0.96
Arabie saoudite,2019,-0.43
Argentine,2019,-0.12
Arménie,2019,-0.51
Australie,2019,1.09
Autriche,2019,0.98
Azerbaïdjan,2019,-0.68
Bahamas,2019,0.83
Bahreïn,2019,-0.66
Bangladesh,2019,-0.92
Barbade,2019,0.94
Bélarus,2019,0.29
Belgique,2019,0.48
Belize,2019,0.07
Bénin,2019,-0.35
Bermudes,2019,1.08
Bhoutan,2019,1.09
Bolivie (État plurinational de),2019,-0.62
Bosnie-Herzégovine,2019,-0.4
Botswana,2019,1.01
Brésil,2019,-0.55
Brunéi Darussalam,2019,1.17
Bulgarie,2019,0.54
Burkina Faso,2019,-1.19
Burundi,2019,-1.65
Cabo Verde,2019,0.88
Cambodge,2019,-0.08
Cameroun,2019,-1.56
Canada,2019,1.03
Chili,2019,0.21
Chine,2019,
Chine - RAS de Hong-Kong,2019,-0.27
Chine - RAS de Macao,2019,1.25
"Chine, continentale",2019,
"Chine, Taiwan Province de",2019,0.72
Chypre,2019,0.52
Colombie,2019,-0.9
Comores,2019,-0.15
Congo,2019,-0.89
Costa Rica,2019,0.46
Côte d'Ivoire,2019,-0.96
Croatie,2019,0.76
Cuba,2019,0.61
Danemark,2019,1.01
Djibouti,2019,-0.34
Dominique,2019,1.07
Égypte,2019,-1.07
El Salvador,2019,-0.13
Émirats arabes unis,2019,0.7
Équateur,2019,-0.19
Érythrée,2019,-0.72
Espagne,2019,0.32
Estonie,2019,0.64
Eswatini,2019,-0.38
États-Unis d'Amérique,2019,0.3
Éthiopie,2019,-1.28
Fédération de Russie,2019,-0.54
Fidji,2019,0.87
Finlande,2019,0.91
France,2019,0.31
Gabon,2019,-0.18
Gambie,2019,0.11
Géorgie,2019,-0.45
Ghana,2019,0.1
Grèce,2019,0.29
Grenade,2019,0.96
Groenland,2019,1.9
Guatemala,2019,-0.55
Guinée,2019,-0.83
Guinée équatoriale,2019,-0.19
Guinée-Bissau,2019,-0.56
Guyana,2019,-0.24
Haïti,2019,-0.78
Honduras,2019,-0.53
Hongrie,2019,0.73
Îles Cook,2019,
Îles Marshall,2019,0.86
Îles Salomon,2019,0.5
Inde,2019,-0.7
Indonésie,2019,-0.48
Iran (République islamique d'),2019,-1.7
Iraq,2019,-2.56
Irlande,2019,0.97
Islande,2019,1.66
Israël,2019,-0.78
Italie,2019,0.46
Jamaïque,2019,0.41
Japon,2019,1.04
Jordanie,2019,-0.36
Kazakhstan,2019,-0.08
Kenya,2019,-1.12
Kirghizistan,2019,-0.41
Kiribati,2019,1.2
Koweït,2019,0.2
Lesotho,2019,-0.35
Lettonie,2019,0.45
Liban,2019,-1.64
Libéria,2019,-0.23
Libye,2019,-2.57
Lituanie,2019,0.84
Luxembourg,2019,1.36
Macédoine du Nord,2019,-0.05
Madagascar,2019,-0.25
Malaisie,2019,0.11
Malawi,2019,-0.27
Maldives,2019,0.01
Mali,2019,-2.15
Malte,2019,1.09
Maroc,2019,-0.37
Maurice,2019,0.82
Mauritanie,2019,-0.54
Mexique,2019,-0.71
Micronésie (États fédérés de),2019,1
Mongolie,2019,0.64
Monténégro,2019,0.01
Mozambique,2019,-0.75
Myanmar,2019,-1.26
Namibie,2019,0.53
Nauru,2019,0.86
Népal,2019,-0.47
Nicaragua,2019,-1.03
Niger,2019,-1.4
Nigéria,2019,-1.93
Nioué,2019,
Norvège,2019,1.19
Nouvelle-Calédonie,2019,
Nouvelle-Zélande,2019,1.51
Oman,2019,0.59
Ouganda,2019,-0.65
Ouzbékistan,2019,-0.27
Pakistan,2019,-2.25
